rank,Exchange name,Volume 30days,#markets,rebates?,MM program?,token model?,manipulation ,fees link
1,Bithumb,$40.330.548.688,69,no,no,no,,https://en.bithumb.com/u1/US138
2,BitMEX,$41.303.154.073,1,yes,public rebates,no,,
3,Binance,$22.613.972.756,411,no,no,yes,,
4,OKEx,$19.449.846.837,415,,,,,https://www.okex.com/pages/products/fees.html
5,Bit-Z,$11.800.006.312,157,,,,,
6,LBank,$10.304.217.440,97,,,,,
7,ZB.COM,$8.549.091.119,93,,,,,
8,ZBG,$10.047.647.755,17,,,,,
9,DigiFinex,$13.509.190.823,109,no,no,no,,https://digifinex.zendesk.com/hc/en-us/articles/360007166473-Fee-Structure-on-DigiFinex
10,CoinBene,$9.883.654.960,186,,,,,
11,EXX,$6.700.286.886,42,,,,,
12,Bibox,$7.716.565.926,192,,,,,
13,Huobi,$14.764.667.120,391,,,,,
14,HitBTC,$7.357.802.613,774,yes,public,no,"wash trading, founders anonymous",
15,IDAX,$7.648.056.631,137,,,,,
16,BitMax,$7.922.827.692,52,,,,,
17,BitForex,$6.976.131.311,128,,,,,
18,DOBI Exchange,$2.271.799.144,13,,,,,
19,Coineal,$4.392.047.317,55,,,,,
20,Cryptonex,$4.133.484.133,56,,,,,
21,BitMart,$6.331.073.142,118,,,,,
22,Simex,$3.648.152.490,9,,,,,
23,Coinsuper,$4.289.329.649,89,,,,,
24,UPbit,$8.015.178.658,294,,,,,
25,CoinMex,$2.259.519.491,63,,,,,
26,OEX,$5.020.421.579,14,,,,,
27,Exrates,$4.265.788.407,115,,,,,
28,BCEX,$3.712.421.632,69,,,,,
29,Fatbtc,$3.773.611.486,46,,,,,
30,Bitfinex,$7.307.173.101,100,,,,,
31,DragonEX,$3.757.966.314,89,,,,,
32,RightBTC,$2.958.502.329,50,,,,,
33,LocalTrade,$1.085.620.433,15,,,,,
34,LATOKEN,$2.266.060.215,71,,,,,
35,Allcoin,$1.681.542.620,26,,,,,
36,Coinbit,$9.621.232.015,22,,,,,
37,FCoin,$4.045.616.739,94,,,,,
38,CoinTiger,$2.844.320.965,70,,,,,
39,CHAOEX,$2.082.419.878,51,,,,,
40,Kraken,$3.617.549.759,72,,,,,
41,P2PB2B,$1.915.034.449,51,,,,,
42,IDCM,$3.908.477.055,52,,,,,
43,TOPBTC,$2.502.927.859,43,,,,,
44,Coinbase Pro,$3.566.220.999,32,,,,,
45,Liquid,$3.165.217.833,174,,,,,
46,TOKOK,$216.294.520,52,,,,,
47,Hotbit,$1.047.567.058,313,,,,,
48,Bitinka,$1.475.133.933,98,,,,,
49,Sistemkoin,$1.636.286.991,152,,,,,
50,BiteBTC,$1.668.667.765,29,,,,,
51,Bitstamp,$1.923.644.121,14,,,,,
52,Cashierest,$1.018.394.807,61,,,,,
53,Kryptono,$851.787.746,33,,,,,
54,CoinEgg,$1.390.973.526,64,,,,,
55,Coinall,$637.961.458,28,,,,,
56,Bitlish,$553.576.706,30,,,,,
57,Gate.io,$1.750.921.100,359,,,,,
58,Bilaxy,$780.900.934,86,,,,,
59,CoinsBank,$602.331.385,6,,,,,
60,ABCC,$925.615.889,105,,,,,
61,Bittrex,$1.137.699.619,302,,,,,
62,Bgogo,$542.771.973,31,,,,,
63,Bitrue,$406.429.433,116,,,,,
64,Gemini,$649.500.604,12,,,,,
65,B2BX,$780.294.731,30,,,,,
66,Bitbank,$2.606.576.270,8,,,,,
67,bitFlyer,$913.482.632,3,,,,,
68,Coinhub,$695.814.367,22,,,,,
69,Exmo,$656.808.754,126,,,,,
70,Trade By Trade,$309.671.209,13,,,,,
71,YoBit,$408.272.098,492,,,,,
72,Poloniex,$763.470.813,119,,,,,
73,Coinbe,$343.393.653,37,,,,,
74,BTCBOX,$340.694.291,1,,,,,
75,UEX,$511.804.459,35,,,,,
76,Livecoin,$261.319.191,187,,,,,
77,Coinone,$588.579.317,16,,,,,
78,itBit,$344.868.208,3,,,,,
79,MBAex,$262.725.207,13,,,,,
80,Coindeal,$124.427.895,34,,,,,
81,CoinZest,$234.230.289,76,,,,,
82,Coinsquare,$190.593.026,9,,,,,
83,Korbit,$367.677.216,22,,,,,
84,LakeBTC,$159.396.466,10,,,,,
85,Coincheck,$384.099.457,1,,,,,
86,Neraex,$182.167.653,13,,,,,
87,BitBay,$181.307.393,72,,,,,
88,Mercatox,$152.611.510,328,,,,,
89,BtcTrade.im,$141.561.870,11,,,,,
90,COSS,$54.966.045,212,,,,,
91,Bitsane,$143.657.711,35,,,,,
92,KuCoin,$322.901.525,391,,,,,
93,GOPAX,$160.682.480,69,,,,,
94,Luno,$81.331.290,5,,,,,
95,Cryptology,$129.336.430,27,,,,,
96,GDAC,$177.919.014,22,,,,,
97,Coinroom,$113.138.861,52,,,,,
98,OKCoin,$55.306.527,39,,,,,
99,BtcTurk,$144.728.612,7,,,,,
100,CryptalDash,$101.290.621,15,,,,,
